Name,Location,Study Program,Sector,Rating,new_Rating,Cities
Pakistan Navy War College Lahore, Navy War College Shahra-e-Quaid-e-Azam Post Box 1019 01 Bromhead Road LAHORE - 54000,FA ICS FSc Pre Engineering FSc Pre Medical ICom,Private,0*,0*,Lahore
Pine Hills Public School and College Abbottabad,"Muree Road, Abbottabad, Khyber Pakhtunkhwa",FA FSc Pre Engineering FSc Pre Medical ICS Computer Science ICom,Private,0*,0*,Abbottabad
Pakistan College of Commerce & Management Lahore,"47-Tipu Block, New Garden Town, Lahore-",ICOM,Private,0*,0*,Lahore
ST Anthony College Lahore,"3-Lawrence Road, Lahore",A Level,Private,0*,0*,Lahore
The Lamps College System Peshawar,The Lamps College System Peshawar,FA FSc Pre-Engineering FSc Pre-Medical FA General Science ICS ICom,Private,0*,0*,Peshawar
Govt Technical Training Center (DMTC) Ahmad Pur East District Bahawalpur,Qanchi Moor Ahmed Pur East Bahawalpur,FA FSc Pre-Engineering FSc Pre-Medical ICS ICom,Private,0*,0*,Bahawalpur
Akhuwat-PCCM College Lahore,47-Tipu Block (New Kalma Fly Over) New Garden Town Lahore.,ICS Fsc Pre Medcial FSc Pre Engineering ICom,Private,0*,0*,Lahore
Ad-Dawa Open University Lahore,"Markaz Al-Qadsiya Chuburgy, Lahore",FA ICS FSc Pre Engineering FSc Pre Medical ICom,Private,3.25*,3*,Lahore
Govt College For Women Qila Didar Singh Gujranwala,Govt College For Women Qila Didar Singh Gujranwala,FA FSc Pre Engineering FSc Pre Medical ICS ICom FA General Science,Public,0*,0*,Gujrawala
Govt College for Women Bahawalnagar,Govt College for Women Bahawalnagar,FA Fsc Pre Medical FSc Pre Engineering ICS ICom,Private,0*,0*,Bahawalnagar
